RUN	perf.TestSimulation	testsimulation	1707849828248	 	3.0.3
USER	mainScenario	1	START	1707849829052	1707849829052
REQUEST	1	open	/webtours/	1707849829072	1707849829173	OK	 
REQUEST	1	open	/cgi-bin/welcome.pl	1707849829198	1707849829330	OK	 
REQUEST	1	open	/cgi-bin/nav.pl	1707849829339	1707849829504	OK	 
GROUP	1	open	1707849829058	1707849830508	398	OK
REQUEST	1	login	/cgi-bin/login.pl	1707849830511	1707849830605	OK	 
REQUEST	1	login	/cgi-bin/login.pl	1707849830608	1707849830731	OK	 
REQUEST	1	login	/cgi-bin/nav.pl	1707849830733	1707849830838	OK	 
GROUP	1	login	1707849830509	1707849831830	322	OK
REQUEST	1	openflights	/cgi-bin/welcome.pl	1707849831831	1707849831912	OK	 
REQUEST	1	openflights	/cgi-bin/reservations.pl	1707849831914	1707849832048	OK	 
REQUEST	1	openflights	/cgi-bin/nav.pl	1707849832050	1707849832163	OK	 
GROUP	1	openflights	1707849831830	1707849833149	328	OK
REQUEST	1	ticketattributes	/cgi-bin/reservations.pl	1707849833150	1707849833230	OK	 
REQUEST	1	ticketattributes	/cgi-bin/reservations.pl	1707849833231	1707849833336	OK	 
REQUEST	1	ticketattributes	/cgi-bin/reservations.pl	1707849833339	1707849833445	OK	 
GROUP	1	ticketattributes	1707849833149	1707849834454	291	OK
REQUEST	1	Itinerary	/cgi-bin/welcome.pl	1707849834455	1707849834517	OK	 
REQUEST	1	Itinerary	/cgi-bin/nav.pl	1707849834519	1707849834619	OK	 
REQUEST	1	Itinerary	/cgi-bin/itinerary.pl	1707849834621	1707849835036	OK	 
GROUP	1	Itinerary	1707849834455	1707849836019	577	OK
REQUEST	1	signoff	/cgi-bin/welcome.pl	1707849836020	1707849836084	OK	 
REQUEST	1	signoff	/cgi-bin/nav.pl	1707849836085	1707849836179	OK	 
GROUP	1	signoff	1707849836019	1707849837187	158	OK
USER	mainScenario	1	END	1707849829052	1707849837188
USER	mainScenario	2	START	1707849846061	1707849846061
REQUEST	2	open	/webtours/	1707849846062	1707849846114	OK	 
REQUEST	2	open	/cgi-bin/welcome.pl	1707849846116	1707849846183	OK	 
REQUEST	2	open	/cgi-bin/nav.pl	1707849846184	1707849846278	OK	 
GROUP	2	open	1707849846062	1707849847309	213	OK
REQUEST	2	login	/cgi-bin/login.pl	1707849847310	1707849847375	OK	 
REQUEST	2	login	/cgi-bin/login.pl	1707849847377	1707849847469	OK	 
REQUEST	2	login	/cgi-bin/nav.pl	1707849847470	1707849847565	OK	 
GROUP	2	login	1707849847309	1707849848554	252	OK
REQUEST	2	openflights	/cgi-bin/welcome.pl	1707849848555	1707849848663	OK	 
REQUEST	2	openflights	/cgi-bin/reservations.pl	1707849848665	1707849848793	OK	 
REQUEST	2	openflights	/cgi-bin/nav.pl	1707849848795	1707849848898	OK	 
GROUP	2	openflights	1707849848554	1707849849891	339	OK
REQUEST	2	ticketattributes	/cgi-bin/reservations.pl	1707849849892	1707849849969	OK	 
REQUEST	2	ticketattributes	/cgi-bin/reservations.pl	1707849849971	1707849850071	OK	 
REQUEST	2	ticketattributes	/cgi-bin/reservations.pl	1707849850073	1707849850174	OK	 
GROUP	2	ticketattributes	1707849849891	1707849851169	278	OK
REQUEST	2	Itinerary	/cgi-bin/welcome.pl	1707849851169	1707849851233	OK	 
REQUEST	2	Itinerary	/cgi-bin/nav.pl	1707849851235	1707849851338	OK	 
REQUEST	2	Itinerary	/cgi-bin/itinerary.pl	1707849851339	1707849853255	OK	 
GROUP	2	Itinerary	1707849851169	1707849854249	2083	OK
REQUEST	2	signoff	/cgi-bin/welcome.pl	1707849854250	1707849854318	OK	 
REQUEST	2	signoff	/cgi-bin/nav.pl	1707849854320	1707849854415	OK	 
GROUP	2	signoff	1707849854249	1707849855413	163	OK
USER	mainScenario	2	END	1707849846061	1707849855413
USER	mainScenario	3	START	1707849863050	1707849863050
REQUEST	3	open	/webtours/	1707849863051	1707849863087	OK	 
REQUEST	3	open	/cgi-bin/welcome.pl	1707849863088	1707849863155	OK	 
REQUEST	3	open	/cgi-bin/nav.pl	1707849863157	1707849863255	OK	 
GROUP	3	open	1707849863051	1707849864268	201	OK
REQUEST	3	login	/cgi-bin/login.pl	1707849864269	1707849864348	OK	 
REQUEST	3	login	/cgi-bin/login.pl	1707849864350	1707849864448	OK	 
REQUEST	3	login	/cgi-bin/nav.pl	1707849864450	1707849864546	OK	 
GROUP	3	login	1707849864269	1707849865550	273	OK
REQUEST	3	openflights	/cgi-bin/welcome.pl	1707849865551	1707849865605	OK	 
REQUEST	3	openflights	/cgi-bin/reservations.pl	1707849865606	1707849866046	OK	 
REQUEST	3	openflights	/cgi-bin/nav.pl	1707849866048	1707849866107	OK	 
GROUP	3	openflights	1707849865550	1707849867108	553	OK
REQUEST	3	ticketattributes	/cgi-bin/reservations.pl	1707849867109	1707849867221	OK	 
REQUEST	3	ticketattributes	/cgi-bin/reservations.pl	1707849867222	1707849867409	OK	 
REQUEST	3	ticketattributes	/cgi-bin/reservations.pl	1707849867411	1707849867908	OK	 
GROUP	3	ticketattributes	1707849867108	1707849868901	796	OK
REQUEST	3	Itinerary	/cgi-bin/welcome.pl	1707849868902	1707849868963	OK	 
REQUEST	3	Itinerary	/cgi-bin/nav.pl	1707849868964	1707849869054	OK	 
REQUEST	3	Itinerary	/cgi-bin/itinerary.pl	1707849869055	1707849869637	OK	 
GROUP	3	Itinerary	1707849868901	1707849870629	733	OK
REQUEST	3	signoff	/cgi-bin/welcome.pl	1707849870629	1707849870695	OK	 
REQUEST	3	signoff	/cgi-bin/nav.pl	1707849870697	1707849870799	OK	 
GROUP	3	signoff	1707849870629	1707849871809	168	OK
USER	mainScenario	3	END	1707849863050	1707849871809
USER	mainScenario	4	START	1707849880059	1707849880059
REQUEST	4	open	/webtours/	1707849880060	1707849880111	OK	 
REQUEST	4	open	/cgi-bin/welcome.pl	1707849880112	1707849880205	OK	 
REQUEST	4	open	/cgi-bin/nav.pl	1707849880206	1707849880295	OK	 
GROUP	4	open	1707849880060	1707849881317	233	OK
REQUEST	4	login	/cgi-bin/login.pl	1707849881317	1707849882279	OK	 
REQUEST	4	login	/cgi-bin/login.pl	1707849882281	1707849882345	OK	 
REQUEST	4	login	/cgi-bin/nav.pl	1707849882346	1707849882739	OK	 
GROUP	4	login	1707849881317	1707849883737	1419	OK
REQUEST	4	openflights	/cgi-bin/welcome.pl	1707849883738	1707849884704	OK	 
REQUEST	4	openflights	/cgi-bin/reservations.pl	1707849884705	1707849886980	OK	 
REQUEST	4	openflights	/cgi-bin/nav.pl	1707849886982	1707849887373	OK	 
GROUP	4	openflights	1707849883738	1707849888377	3632	OK
REQUEST	4	ticketattributes	/cgi-bin/reservations.pl	1707849888378	1707849888540	OK	 
REQUEST	4	ticketattributes	/cgi-bin/reservations.pl	1707849888541	1707849888625	OK	 
REQUEST	4	ticketattributes	/cgi-bin/reservations.pl	1707849888626	1707849888733	OK	 
GROUP	4	ticketattributes	1707849888377	1707849889714	353	OK
REQUEST	4	Itinerary	/cgi-bin/welcome.pl	1707849889715	1707849890093	OK	 
REQUEST	4	Itinerary	/cgi-bin/nav.pl	1707849890095	1707849890168	OK	 
REQUEST	4	Itinerary	/cgi-bin/itinerary.pl	1707849890169	1707849892453	OK	 
GROUP	4	Itinerary	1707849889715	1707849893455	2735	OK
REQUEST	4	signoff	/cgi-bin/welcome.pl	1707849893455	1707849893540	OK	 
REQUEST	4	signoff	/cgi-bin/nav.pl	1707849893541	1707849893654	OK	 
GROUP	4	signoff	1707849893455	1707849894668	198	OK
USER	mainScenario	4	END	1707849880059	1707849894668
USER	mainScenario	5	START	1707849897064	1707849897064
REQUEST	5	open	/webtours/	1707849897065	1707849897110	OK	 
REQUEST	5	open	/cgi-bin/welcome.pl	1707849897111	1707849897210	OK	 
REQUEST	5	open	/cgi-bin/nav.pl	1707849897212	1707849897326	OK	 
GROUP	5	open	1707849897064	1707849898341	258	OK
REQUEST	5	login	/cgi-bin/login.pl	1707849898342	1707849898442	OK	 
REQUEST	5	login	/cgi-bin/login.pl	1707849898444	1707849898565	OK	 
REQUEST	5	login	/cgi-bin/nav.pl	1707849898566	1707849898677	OK	 
GROUP	5	login	1707849898341	1707849899678	332	OK
REQUEST	5	openflights	/cgi-bin/welcome.pl	1707849899679	1707849899765	OK	 
REQUEST	5	openflights	/cgi-bin/reservations.pl	1707849899767	1707849899905	OK	 
REQUEST	5	openflights	/cgi-bin/nav.pl	1707849899906	1707849900022	OK	 
GROUP	5	openflights	1707849899678	1707849901020	340	OK
REQUEST	5	ticketattributes	/cgi-bin/reservations.pl	1707849901021	1707849901098	OK	 
REQUEST	5	ticketattributes	/cgi-bin/reservations.pl	1707849901100	1707849901210	OK	 
REQUEST	5	ticketattributes	/cgi-bin/reservations.pl	1707849901211	1707849901315	OK	 
GROUP	5	ticketattributes	1707849901020	1707849902301	291	OK
REQUEST	5	Itinerary	/cgi-bin/welcome.pl	1707849902302	1707849902365	OK	 
REQUEST	5	Itinerary	/cgi-bin/nav.pl	1707849902366	1707849902460	OK	 
REQUEST	5	Itinerary	/cgi-bin/itinerary.pl	1707849902462	1707849903099	OK	 
GROUP	5	Itinerary	1707849902301	1707849904110	794	OK
REQUEST	5	signoff	/cgi-bin/welcome.pl	1707849904110	1707849904185	OK	 
REQUEST	5	signoff	/cgi-bin/nav.pl	1707849904187	1707849904589	OK	 
GROUP	5	signoff	1707849904110	1707849905589	477	OK
USER	mainScenario	5	END	1707849897064	1707849905589
USER	mainScenario	6	START	1707849914059	1707849914059
REQUEST	6	open	/webtours/	1707849914059	1707849914098	OK	 
REQUEST	6	open	/cgi-bin/welcome.pl	1707849914100	1707849914164	OK	 
REQUEST	6	open	/cgi-bin/nav.pl	1707849914166	1707849914255	OK	 
GROUP	6	open	1707849914059	1707849915259	192	OK
REQUEST	6	login	/cgi-bin/login.pl	1707849915259	1707849915331	OK	 
REQUEST	6	login	/cgi-bin/login.pl	1707849915332	1707849915421	OK	 
REQUEST	6	login	/cgi-bin/nav.pl	1707849915422	1707849915516	OK	 
GROUP	6	login	1707849915259	1707849916527	255	OK
REQUEST	6	openflights	/cgi-bin/welcome.pl	1707849916528	1707849916590	OK	 
REQUEST	6	openflights	/cgi-bin/reservations.pl	1707849916591	1707849916704	OK	 
REQUEST	6	openflights	/cgi-bin/nav.pl	1707849916706	1707849916813	OK	 
GROUP	6	openflights	1707849916527	1707849917817	282	OK
REQUEST	6	ticketattributes	/cgi-bin/reservations.pl	1707849917817	1707849917891	OK	 
REQUEST	6	ticketattributes	/cgi-bin/reservations.pl	1707849917892	1707849918035	OK	 
REQUEST	6	ticketattributes	/cgi-bin/reservations.pl	1707849918037	1707849918220	OK	 
GROUP	6	ticketattributes	1707849917817	1707849919212	400	OK
REQUEST	6	Itinerary	/cgi-bin/welcome.pl	1707849919213	1707849919271	OK	 
REQUEST	6	Itinerary	/cgi-bin/nav.pl	1707849919272	1707849919368	OK	 
REQUEST	6	Itinerary	/cgi-bin/itinerary.pl	1707849919369	1707849919707	OK	 
GROUP	6	Itinerary	1707849919212	1707849920709	492	OK
REQUEST	6	signoff	/cgi-bin/welcome.pl	1707849920709	1707849920793	OK	 
REQUEST	6	signoff	/cgi-bin/nav.pl	1707849920795	1707849921334	OK	 
GROUP	6	signoff	1707849920709	1707849922331	623	OK
USER	mainScenario	6	END	1707849914059	1707849922331
USER	mainScenario	7	START	1707849931059	1707849931059
REQUEST	7	open	/webtours/	1707849931059	1707849931110	OK	 
REQUEST	7	open	/cgi-bin/welcome.pl	1707849931110	1707849931293	OK	 
REQUEST	7	open	/cgi-bin/nav.pl	1707849931294	1707849931377	OK	 
GROUP	7	open	1707849931059	1707849932399	317	OK
REQUEST	7	login	/cgi-bin/login.pl	1707849932399	1707849932463	OK	 
REQUEST	7	login	/cgi-bin/login.pl	1707849932465	1707849932557	OK	 
REQUEST	7	login	/cgi-bin/nav.pl	1707849932558	1707849932656	OK	 
GROUP	7	login	1707849932399	1707849933649	254	OK
REQUEST	7	openflights	/cgi-bin/welcome.pl	1707849933649	1707849933713	OK	 
REQUEST	7	openflights	/cgi-bin/reservations.pl	1707849933715	1707849933814	OK	 
REQUEST	7	openflights	/cgi-bin/nav.pl	1707849933816	1707849933906	OK	 
GROUP	7	openflights	1707849933649	1707849934910	253	OK
REQUEST	7	ticketattributes	/cgi-bin/reservations.pl	1707849934910	1707849934983	OK	 
REQUEST	7	ticketattributes	/cgi-bin/reservations.pl	1707849934984	1707849935094	OK	 
REQUEST	7	ticketattributes	/cgi-bin/reservations.pl	1707849935095	1707849935205	OK	 
GROUP	7	ticketattributes	1707849934910	1707849936201	293	OK
REQUEST	7	Itinerary	/cgi-bin/welcome.pl	1707849936202	1707849936260	OK	 
REQUEST	7	Itinerary	/cgi-bin/nav.pl	1707849936262	1707849936352	OK	 
REQUEST	7	Itinerary	/cgi-bin/itinerary.pl	1707849936353	1707849936887	OK	 
GROUP	7	Itinerary	1707849936201	1707849937889	682	OK
REQUEST	7	signoff	/cgi-bin/welcome.pl	1707849937889	1707849937950	OK	 
REQUEST	7	signoff	/cgi-bin/nav.pl	1707849937951	1707849938047	OK	 
GROUP	7	signoff	1707849937889	1707849939045	157	OK
USER	mainScenario	7	END	1707849931059	1707849939046
USER	mainScenario	8	START	1707849949059	1707849949059
REQUEST	8	open	/webtours/	1707849949060	1707849949100	OK	 
REQUEST	8	open	/cgi-bin/welcome.pl	1707849949101	1707849949168	OK	 
REQUEST	8	open	/cgi-bin/nav.pl	1707849949169	1707849949257	OK	 
GROUP	8	open	1707849949060	1707849950273	195	OK
REQUEST	8	login	/cgi-bin/login.pl	1707849950274	1707849951237	OK	 
REQUEST	8	login	/cgi-bin/login.pl	1707849951239	1707849951308	OK	 
REQUEST	8	login	/cgi-bin/nav.pl	1707849951309	1707849951408	OK	 
GROUP	8	login	1707849950273	1707849952409	1131	OK
REQUEST	8	openflights	/cgi-bin/welcome.pl	1707849952409	1707849952466	OK	 
REQUEST	8	openflights	/cgi-bin/reservations.pl	1707849952467	1707849952586	OK	 
REQUEST	8	openflights	/cgi-bin/nav.pl	1707849952588	1707849952665	OK	 
GROUP	8	openflights	1707849952409	1707849953662	253	OK
REQUEST	8	ticketattributes	/cgi-bin/reservations.pl	1707849953663	1707849953741	OK	 
REQUEST	8	ticketattributes	/cgi-bin/reservations.pl	1707849953743	1707849953852	OK	 
REQUEST	8	ticketattributes	/cgi-bin/reservations.pl	1707849953853	1707849953969	OK	 
GROUP	8	ticketattributes	1707849953662	1707849954965	303	OK
REQUEST	8	Itinerary	/cgi-bin/welcome.pl	1707849954966	1707849955038	OK	 
REQUEST	8	Itinerary	/cgi-bin/nav.pl	1707849955039	1707849955150	OK	 
REQUEST	8	Itinerary	/cgi-bin/itinerary.pl	1707849955151	1707849955868	OK	 
GROUP	8	Itinerary	1707849954965	1707849956879	900	OK
REQUEST	8	signoff	/cgi-bin/welcome.pl	1707849956880	1707849956945	OK	 
REQUEST	8	signoff	/cgi-bin/nav.pl	1707849956946	1707849957037	OK	 
USER	mainScenario	9	START	1707849957067	1707849957067
REQUEST	9	open	/webtours/	1707849957068	1707849957111	OK	 
REQUEST	9	open	/cgi-bin/welcome.pl	1707849957112	1707849957179	OK	 
REQUEST	9	open	/cgi-bin/nav.pl	1707849957180	1707849957278	OK	 
GROUP	8	signoff	1707849956879	1707849958017	156	OK
USER	mainScenario	8	END	1707849949059	1707849958018
GROUP	9	open	1707849957068	1707849958299	208	OK
REQUEST	9	login	/cgi-bin/login.pl	1707849958300	1707849958364	OK	 
REQUEST	9	login	/cgi-bin/login.pl	1707849958365	1707849958461	OK	 
REQUEST	9	login	/cgi-bin/nav.pl	1707849958461	1707849958556	OK	 
GROUP	9	login	1707849958299	1707849959549	255	OK
REQUEST	9	openflights	/cgi-bin/welcome.pl	1707849959549	1707849959612	OK	 
REQUEST	9	openflights	/cgi-bin/reservations.pl	1707849959613	1707849959724	OK	 
REQUEST	9	openflights	/cgi-bin/nav.pl	1707849959725	1707849959817	OK	 
GROUP	9	openflights	1707849959549	1707849960823	266	OK
REQUEST	9	ticketattributes	/cgi-bin/reservations.pl	1707849960824	1707849960937	OK	 
REQUEST	9	ticketattributes	/cgi-bin/reservations.pl	1707849960939	1707849961044	OK	 
REQUEST	9	ticketattributes	/cgi-bin/reservations.pl	1707849961045	1707849961182	OK	 
GROUP	9	ticketattributes	1707849960823	1707849962179	355	OK
REQUEST	9	Itinerary	/cgi-bin/welcome.pl	1707849962180	1707849962259	OK	 
REQUEST	9	Itinerary	/cgi-bin/nav.pl	1707849962260	1707849962426	OK	 
REQUEST	9	Itinerary	/cgi-bin/itinerary.pl	1707849962428	1707849963743	OK	 
GROUP	9	Itinerary	1707849962179	1707849964739	1560	OK
REQUEST	9	signoff	/cgi-bin/welcome.pl	1707849964739	1707849964820	OK	 
REQUEST	9	signoff	/cgi-bin/nav.pl	1707849964821	1707849964939	OK	 
GROUP	9	signoff	1707849964739	1707849965939	199	OK
USER	mainScenario	9	END	1707849957067	1707849965940
USER	mainScenario	10	START	1707849966065	1707849966065
REQUEST	10	open	/webtours/	1707849966066	1707849966132	OK	 
REQUEST	10	open	/cgi-bin/welcome.pl	1707849966132	1707849966527	OK	 
REQUEST	10	open	/cgi-bin/nav.pl	1707849966528	1707849966631	OK	 
GROUP	10	open	1707849966066	1707849967657	564	OK
REQUEST	10	login	/cgi-bin/login.pl	1707849967657	1707849967790	OK	 
REQUEST	10	login	/cgi-bin/login.pl	1707849967792	1707849967896	OK	 
REQUEST	10	login	/cgi-bin/nav.pl	1707849967897	1707849968014	OK	 
GROUP	10	login	1707849967657	1707849968999	354	OK
REQUEST	10	openflights	/cgi-bin/welcome.pl	1707849968999	1707849969143	OK	 
REQUEST	10	openflights	/cgi-bin/reservations.pl	1707849969144	1707849969260	OK	 
REQUEST	10	openflights	/cgi-bin/nav.pl	1707849969261	1707849969357	OK	 
GROUP	10	openflights	1707849968999	1707849970349	356	OK
REQUEST	10	ticketattributes	/cgi-bin/reservations.pl	1707849970349	1707849970434	OK	 
REQUEST	10	ticketattributes	/cgi-bin/reservations.pl	1707849970435	1707849970536	OK	 
