RUN	perf.TestSimulation	testsimulation	1707067935604	 	3.0.3
GROUP	4	login	1707067989638	1707067991158	517	OK
REQUEST	4	openflights	/cgi-bin/welcome.pl	1707067991159	1707067991279	OK	 
REQUEST	4	openflights	/cgi-bin/reservations.pl	1707067991281	1707067991382	OK	 
REQUEST	4	openflights	/cgi-bin/nav.pl	1707067991385	1707067991484	OK	 
GROUP	4	openflights	1707067991158	1707067992478	320	OK
REQUEST	4	ticketattributes	/cgi-bin/reservations.pl	1707067992479	1707067992613	OK	 
REQUEST	4	ticketattributes	/cgi-bin/reservations.pl	1707067992616	1707067992712	OK	 
REQUEST	4	ticketattributes	/cgi-bin/reservations.pl	1707067992715	1707067992917	OK	 
GROUP	4	ticketattributes	1707067992478	1707067993927	432	OK
REQUEST	4	Itinerary	/cgi-bin/welcome.pl	1707067993929	1707067994046	OK	 
REQUEST	4	Itinerary	/cgi-bin/nav.pl	1707067994049	1707067994148	OK	 
REQUEST	4	Itinerary	/cgi-bin/itinerary.pl	1707067994150	1707067994443	OK	 
GROUP	4	Itinerary	1707067993928	1707067995429	509	OK
REQUEST	4	signoff	/cgi-bin/welcome.pl	1707067995430	1707067995578	OK	 
REQUEST	4	signoff	/cgi-bin/nav.pl	1707067995580	1707067995691	OK	 
GROUP	4	signoff	1707067995429	1707067996682	259	OK
USER	mainScenario	4	END	1707067988277	1707067996682
USER	mainScenario	5	START	1707068005288	1707068005288
REQUEST	5	open	/webtours/	1707068005290	1707068005349	OK	 
REQUEST	5	open	/cgi-bin/welcome.pl	1707068005351	1707068005513	OK	 
REQUEST	5	open	/cgi-bin/nav.pll	1707068005516	1707068005619	OK	 
GROUP	5	open	1707068005289	1707068006645	324	OK
REQUEST	5	login	/cgi-bin/login.pl	1707068006646	1707068006720	OK	 
REQUEST	5	login	/cgi-bin/login.pl	1707068006722	1707068007156	OK	 
REQUEST	5	login	/cgi-bin/nav.pll	1707068007159	1707068007248	OK	 
GROUP	5	login	1707068006645	1707068008228	597	OK
REQUEST	5	openflights	/cgi-bin/welcome.pl	1707068008229	1707068008380	OK	 
REQUEST	5	openflights	/cgi-bin/reservations.pl	1707068008381	1707068008483	OK	 
REQUEST	5	openflights	/cgi-bin/nav.pl	1707068008485	1707068008586	OK	 
GROUP	5	openflights	1707068008228	1707068009583	354	OK
REQUEST	5	ticketattributes	/cgi-bin/reservations.pl	1707068009584	1707068009814	OK	 
REQUEST	5	ticketattributes	/cgi-bin/reservations.pl	1707068009817	1707068009916	OK	 
REQUEST	5	ticketattributes	/cgi-bin/reservations.pl	1707068009919	1707068010025	OK	 
GROUP	5	ticketattributes	1707068009583	1707068011036	435	OK
REQUEST	5	Itinerary	/cgi-bin/welcome.pl	1707068011037	1707068011146	OK	 
REQUEST	5	Itinerary	/cgi-bin/nav.pl	1707068011148	1707068011248	OK	 
USER	mainScenario	6	START	1707068022277	1707068022277
REQUEST	6	open	/webtours/	1707068022278	1707068022409	OK	 
REQUEST	6	open	/cgi-bin/welcome.pl	1707068022411	1707068022512	OK	 
REQUEST	6	open	/cgi-bin/nav.pll	1707068022514	1707068022922	OK	 
GROUP	6	open	1707068022278	1707068023949	640	OK
REQUEST	6	login	/cgi-bin/login.pl	1707068023950	1707068024052	OK	 
REQUEST	6	login	/cgi-bin/login.pl	1707068024054	1707068024498	OK	 
REQUEST	6	login	/cgi-bin/nav.pll	1707068024500	1707068024566	OK	 
GROUP	6	login	1707068023949	1707068025551	612	OK
REQUEST	6	openflights	/cgi-bin/welcome.pl	1707068025552	1707068025687	OK	 
REQUEST	6	openflights	/cgi-bin/reservations.pl	1707068025689	1707068025993	OK	 
REQUEST	6	openflights	/cgi-bin/nav.pl	1707068025995	1707068026304	OK	 
